objectid,display_template,title,date,location,Publisher,longitude,latitude,subject,editor,creator,note,call_number,provenance,binding_description,local_note
21,record,Musenalmanach für 1784,1784,Hamburg, C. E. Bohn,9.993682,53.551086,Music ; poetry ; songs ; stories.,Voss und Gökingk,"Blumauer; Gleim; Klopstock; Pfeffel; Graf zu Stolberg; Gökingk; Jacobi; Kraut, A. J.; Reichard; Voss.",,PT19.M967,,Spattered beige paper over boards; spine label. ,
22,record,Musenalmanach für 1785,1785,Hamburg, C. E. Bohn,9.993682,53.551086,Calendar ; astrology ; music ; poetry ; stories.,Voss und Gökingk,Amarant; Fischer; Gökingk; Klopstock; Ramler; v. Döring; Gleim; Jacobi; Pfeffel; Voss ,,PT19.M967,,Spattered gray paper over boards; gilt edges; spine label. ,
23,record,Musenalmanach für 1786,1786,Hamburg, C. E. Bohn,9.993682,53.551086,Poetry ; stories ; musical scores.,Voss und Gökingk,Blumauer; Gleim; v. Halem; Overbeck; Sander; Brückner; Gökingk; Klopstock; Pfeffel; Voss,,PT19.M967,,Spattered beige paper over boards; spine label. ,
24,record,Musenalmanach für 1787,1787,Hamburg, C. E. Bohn,9.993682,53.551086,Calendar ; astrology ; poetry ; stories ; musical scores.,Voss und Gökingk,Blumhauer; Gleim; v. Halem; Mattison; Pfeffel; Voss; Engenschall; Gökingk; Kister; Overbeck; Ramler ,,PT19.M967,,Spattered beige paper over boards; gilt edges; spine label. ,
25,record,Musenalmanach für 1788,1788,Hamburg, C. E. Bohn,9.993682,53.551086,Calendar ; astrology ; poetry ; essays ; stories.,Voss und Gökingk,Claudius; Klopstock; Overbeck; Sander; Voss; Gleim; v. Halem; Pfeffel; Klamer Schmidt,,PT19.M967,,Spattered gray paper over boards; spine label. ,
26,record,Musenalmanach für 1789,1789,Hamburg, C. E. Bohn,9.993682,53.551086,Calendar ; astrology ; music ; Poetry ; songs ; stories.,"Voss, J. H.",Blum; Gramberg; Kretschmann; Pfeffel; Tiege; Gleim; Hölty; Overbeck; Klamer Schmidt; Voss,,PT19.M967,Former owner's stamp: illegible. ,Spattered beige paper over boards; red spattered edges; spine label. ,
27,record,Musenalmanach für 1790,1790,Hamburg, C. E. Bohn,9.993682,53.551086,Calendar ; humor ; music ; proverbs ; poetry ; songs ; stories.,"Voss, J. H.",Gleim; Klopstock; Nicolai; Pfeffel; Spalding; Hinze; Matthison; Overbeck; Klamer Schmidt; Voss.,,PT19.M967,,Spattered gray paper over boards; gilt edges; spine label. ,
28,record,Musenalmanach für 1791,1791,Hamburg, C. E. Bohn,9.993682,53.551086,Humor ; music ; proverbs ; poetry ; songs ; stories.,"Voss, J. H.",Cramer; v. Halem; Matthison; Overbeck; Tiege; Gleim; Haug; Nicolay; Klamer Schmidt; Voss.,,PT19.M967,,Spattered beige paper over boards; red spattered edges; spine label. ,
29,record,Musenalmanach für 1792,1792,Hamburg, C. E. Bohn,9.993682,53.551086,Humor ; music ; proverbs ; poetry ; songs ; stories.,"Voss, J. H.",Bürde; v. Halem; Jacobi; v. Nicolai; Pfeffel; Gleim; Haug; Matthison; Overbeck; Voss.,,PT19.M967,,Spattered gray paper over boards; red spattered edges; spine label.,
30,record,Musenalmanach für 1793,1793,Hamburg, C. E. Bohn,9.993682,53.551086,Games ; humor ; music ; proverbs ; poetry ; songs ; stories.,"Voss, J. H.",Bürde; v. Halem; Matthison; Pfeffel; Tiege; Gleim; Haug; Overbeck; Schmid K; Voss.,,PT19.M967,,Spattered beige paper over boards; red edges; spine label. ,
31,record,Musenalmanach für 1794,1794,Hamburg, C. E. Bohn,9.993682,53.551086,Games ; humor ; music ; proverbs ; poetry ; songs ; stories.,"Voss, J. H.",Conz; Gleim; Jacobi; Matthison; Pfeffel; Ebert; Haug; Klopstock; Overbeck; Voss.,,PT19.M967,,Spattered beige paper over boards; red spattered edges; spine label. ,
32,record,Musenalmanach für 1795,1795,Hamburg, C. E. Bohn,9.993682,53.551086,Calendar ; astrology ; games ; music ; proverbs ; poetry ; songs ; stories.,"Voss, J. H.",Ebert; Haug; Matthison; Schulthess; Voss; Gleim; Karschin; Pfeffel; Tiege.,,PT19.M967,,Spattered gray paper over boards; spine label. ,
33,record,Musenalmanach für 1796,1796,Hamburg, C. E. Bohn,9.993682,53.551086,Calendar ; humor ; music ; proverbs ; poetry ; stories ; songs.,"Voss, J. H.",Eschenberg; Gleim; Haug; Pfeffel; Voss; Fischer; Goethe; Overbeck; Klamer Schmidt,Die Liebesgötter auf dem Marrte – not apparent online,PT19.M967,,Spattered beige paper over boards; gilt edges; spine label. ,
34,record,Musenalmanach für 1797,1797,Hamburg, C. E. Bohn,9.993682,53.551086,Calendar ; music ; proverbs ; poetry ; songs ; stories.,"Voss, J. H.",Baggesen; v. Halem; Overbeck; v. Salis; Tiedge; Gleim; Haug; Pfeffel; Klamer Schmidt; Voss.,,PT19.M967,,Spattered gray paper over boards; red spattered edges; spine label.,
35,record,Musenalmanach für 1798,1798,Hamburg, C. E. Bohn,9.993682,53.551086,Calendar ; dance ; music ; proverbs ; poetry ; songs ; stories.,"Voss, J. H.",Baggesen; v. Halem; Karschin; Overbeck; Klamer Schmidt; Gleim; Haug; v. Nicolay; Pfeffel; Voss.,,PT19.M967,,Yellow paper over boards; spine label. ,
36,record,Musenalmanach für 1800,1800,Neu Strelitz. Ferdinand Albanus,,,,Poetry ; songs ; stories.,"Voss, J. H.",Voss; Haug.,,PT19.M967,,Spattered gray paper over boards; spine label. ,
37,record,Payne's Miniatur Almanac für 1846,1846,London und Leipzig, Brain und Payne,,,Poetry ; essays ; stories.,,"Böttger; Drobisch, Th.; Delius, N.",This collection is engraving heavy.,PT19.P3 v2,,Black paste paper over boards; manucript spine label with year.,
38,record,Payne's Miniatur Almanac für 1847,1847,Leipzig, Englische Kunstanstalt A.H. Payne,12.3874,51.3434,Poetry ; stories ; essays ; songs.,,Böttger; Delius; ölckers; Drobisch; Dittmar,,PT19.P3 v3,,Black paste paper over boards; manucript spine label with year.,
39,record,Payne's Miniatur Almanac für 1848,1848,Leipzig, Englische Kunstanstalt A.H. Payne,12.3874,51.3434,Calendar ; poetry ; stories.,,Drobisch; Meissner; Kauffer,Calendar has both Catholic & Prostestant dates,PT19.P3 v4,,Black paste paper over boards; manucript spine label with year.,
40,record,Payne's Miniatur Almanac für 1849,1849,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; essays.,,Görling; Kauffer.,,PT19.P3 v5,,Black paste paper over boards; manucript spine label with year.,
41,record,Payne's Miniatur Almanac für 1850,1850,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Poetry ; stories.,,Görling; Kauffer.,,PT19.P3 v6,,Black paste paper over boards; manucript spine label with year.,
42,record,Payne's Miniatur Almanac für 1851,1851,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Poetry ; stories ; novellas.,,Görling; Kauffer; Scribano.,,PT19.P3 v7,,Black paste paper over boards; manucript spine label with year.,
43,record,Payne's Miniatur Almanac für 1852,1852,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar; poetry ; novellas ; stories ; fables.,,"Görling, A.; Norden, M.; Hartmann J. E.; Pabst, J.; Frick, Ida; Boas, Eduard.",,PT19.P3 v8,,Black paste paper over boards; manucript spine label with year.,
44,record,Payne's Miniatur Almanac für 1853,1853,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Poetry ; novellas ; stories.,,"Görling, A.; v. Glümer, Clara; Frick, I.",,PT19.P3 v9,,Black paste paper over boards; manucript spine label with year.,
45,record,Payne's Miniatur Almanac für 1854,1854,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; essays ; stories.,,"Görling, A; Rosenheyn; Kloberg; Hartmann.",,PT19.P3 v10,,Black paste paper over boards; manucript spine label with year.,
46,record,Payne's Miniatur Almanac für 1855,1855,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; essays ; stories.,,"Herbst, Paula; Norden, Maria; Vogl, J. N.; Clausnitzer, Maria; Drobisch, Theodor; Weinholz, A.",,PT19.P3 v11,,Black paste paper over boards; manucript spine label with year.,
47,record,Payne's Miniatur Almanac für 1856,1856,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; novellas ; essays.,,"Herbst, P.; Poe, E. A.; Görling, A.; Drobisch, T.; Claussnitzer, M.; Bachmann, Elise; Vogel, L; Vorberg, C..",The Black Cat by Poe is featured. ,PT19.P3 v12,,Black paste paper over boards; manucript spine label with year.,
48,record,Payne's Miniatur Almanac für 1857,1857,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; essays ; stories ; novellas.,,"Drobisch; Schanz, Pauline; v. Meran, Konrad; Klaussnitzer; Seeman, E. A.; Schanz, J; Vogt, C. W.; Röhn, Adalbert.",,PT19.P3 v13,,Black paste paper over boards; manucript spine label with year.,
49,record,Payne's Miniatur Almanac für 1859,1859,Leipzig und Dresden, Englische Kunstanstalt A.H. Payne,,,Calendar ; poetry ; novellas ; stories.,,"Frick; Kauffer; Görling; v. Schlecta, E. E.; Sylvan, H.; Claussnitzer; Rein; v. Schlecta; v. Halberg.",,PT19.P3 v15,,Black paste paper over boards; manucript spine label with year.,
50,record,Rosen: Ein Taschenbuch für 1827,1827,Leipzig, F. A. Leo,12.3874,51.3434,Poetry ; novellas ; essays.,"Hell, T. ",Plenken; Döring; Willibald.,,PT19.R8 v1,,Red cloth over boards; black spattered edges; gilt decorated spine ,
51,record,Rosen: Ein Taschenbuch für 1828,1828,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories ; sonnets. ,"Hell, T. ","v. Tromlitz; Satori; Blumenhagen, W.; Schefer, L.",,PT19.R8 v2,,"1/4 Pink cloth, pink floral paste paper over boards; gilt edges. ",
52,record,Rosen: Ein Taschenbuch für 1829,1829,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories ; sonnets. ,"Hell, T. ","May, Sophie; v. Tromlitz; v. Wachsmann; Blumenhagen. ",,PT19.R8 v3,,Gloster marbled paper over boards; gilt edges; gloster marbled paper over calf on spine. ,
53,record,Rosen: Ein Taschenbuch für 1830,1830,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories. ,"Hell, T. ","Schefer, L; Satori; Hell; v. Lüdemann; v. Tromlitz.",,PT19.R8 v4,,1/4 blue cloth with teal paste paper covered paper over boards; gilt edges. ,
54,record,Rosen: Ein Taschenbuch für 1831,1831,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories ; ballads. ,"Hell, T. ","Döring; v. Deppen; Niesner, M.; v. Wachsmann.",,PT19.R8 v5-6,,Green floral paste paper over boards; gilt edges.,
55,record,Rosen: Ein Taschenbuch für 1832 und 1833,1833,Leipzig, F. A. Leo,12.3874,51.3434,Poetry ; stories ; novellas. ,"Hell, T. ","v. Lüdemann; Blumenhagen; Teleke, H. K.; St. Nelly; Zehner; Franz, Agnes.",,PT19.R8 v7,Former owner's inscription: [G. J. Edler]; [illegible].,"Partially rebound 1/4 Pink cloth, pink floral embossed cloth over boards; gilt edges. ",
56,record,Rosen: Ein Taschenbuch für 1834,1834,Leipzig, F. A. Leo,12.3874,51.3434,Poetry ; stories ; novellas. ,"Hell, T. ","Hell; v. Lüdemann; Blumauer, C.; v. Militz, C. B..",,PT19.R8 v8,,Embossed brown cloth over boards; gilt edges; gilt decorated spine.,
57,record,Rosen: Ein Taschenbuch für 1835,1835,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories. ,"Hell, T. ",Zehner; v. Gusek; Satori; Krebs.,,PT19.R8 v9,Former owner's inscription on cover: [G. J.],Floral pink paste paper over boards; gilt edges.,
58,record,Rosen: Ein Taschenbuch für 1836,1836,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories. ,"Hell, T. ","Rose, Ludmilla; Rein, L; Blumenhagen; Mielau, C.",Passini engraving featured.,PT19.R8 v10,,Rebound red cloth cover over boards. ,
59,record,Rosen: Ein Taschenbuch für 1837,1837,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories ; poetry. ,"Hell, T. ","St. Nelly; Müller, E.; v. Gusek; Arnold, F. W.",,PT19.R8 v11,,Pink paper over boards; gilt edges. ,
60,record,Rosen und Vergissmeinnicht ,1838,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; essays ; stories.,,"Hell; Gehe, E.; Isidor; Rein, L.; Heller, R.",,PT19.R8 v12,,Gray paper with green decorative design over boards; gilt edges. ,
61,record,Rosen und Vergissmeinnicht ,1839,Leipzig, F. A. Leo,12.3874,51.3434,Novellas.,,"v. Gusek; Heller, R.; Rein, L.",,PT19.R8 v13,,White paper with blue decorative design over boards; gilt edges. ,
62,record,Rosen und Vergissmeinnicht ,1840,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; essays.,,"Heller, R; Müller, W.; Storch, L.",,PT19.R8 v14,,White paper with blue decorative design over boards; gilt edges. ,
63,record,Rosen und Vergissmeinnicht ,1841,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; historical stories. ,,"Günther, F.; Heller; v. Gusek.",,PT19.R8 v15,,Partially rebound 1/4 green cloth with white paper with blue decorative design over boards. ,
64,record,Rosen und Vergissmeinnicht ,1842,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories. ,,"Günther; v. Heiden; Neumann, E.; Dingelstedt, F.; Voigt, F.",,PT19.R8 v16,,White paper with red and green decorative design over boards; gilt edges. ,
65,record,Rosen und Vergissmeinnicht ,1843,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; stories ; essays. ,,Günther; Müller.,,PT19.R8 v17,,White paper with blue and brown decorative design over boards; gilt edges. ,
66,record,Rosen und Vergissmeinnicht ,1844,Leipzig, F. A. Leo,12.3874,51.3434,Novellas; romantic stories.,,"Köhler; Isidor; George; Tasse, P.",Absent 1986 catalog.,PT19.R8 v18,,White paper with red and green decorative design over boards; gilt edges. ,
67,record,Rosen und Vergissmeinnicht ,1845,Leipzig, F. A. Leo,12.3874,51.3434,Novellas ; essays ; stories. ,,"Bachmann, W.; Isidor; Köhler, L.; Norder, M.",,PT19.R8 v19,,Partially rebound 1/4 blue cloth with blue paper over boards; gilt edges.,
68,record,Rosen und Vergissmeinnicht ,1847,Leipzig, C. Berger's Buchhandlung,12.3874,51.3434,Stories ; historic novellas. ,"Bourdin, Louis",Bourdin; v. Nottingham.,,PT19.R8 v20,,Pink embossed floral paper over boards; gilt edges. ,
69,record,Der Wintergarten,1816,Frankfurt am Main, Gebrüdern Wilmans,,,Novellas ; poetry ; essays.,"Schütze, St. ","Schütze; De La Motte Fouque; Haug; Brachmann, Luise; Schreiber, Alois.",,PT19.F9 v1,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,
70,record,Der Wintergarten,1818,Frankfurt am Main, Gebrüdern Wilmans,,,Drama ; poetry ; romance. ,"Schütze, St. ","Schütze; Schreiber, A.; Haug; Brachmann, L.; Döring, H.",,PT19.F9 v2,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,
71,record,Der Wintergarten,1819,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; essays ; tales. ,"Schütze, St. ","Schütze; Chezy; Langbein; Willmar, W.; Brachmann, L.; Laun; Haug.",,PT19.F9 v3,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,
72,record,Der Wintergarten,1820,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; essays ; stories. ,"Schütze, St. ",Döring; Castelli; Schütze; Laun; Haug.,,PT19.F9 v4,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,
73,record,Der Wintergarten,1821,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; novellas ; essays ; stories. ,"Schütze, St. ",Helmina von Chezy; Laun; Lohmann; Schütze; Schilling; Brachmann.,,PT19.F9 v5,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,
74,record,Der Wintergarten,1822,Frankfurt am Main, Gebrüdern Wilmans,,,Poetry ; songs ; essays ; tales. ,"Schütze, St. ",Laun; Sternheim; Rassman; Döring; v. Hohenhausen; Kannegiesser; Schütze.,,PT19.F9 v6,,Mottled brown paper over boards with calf spine; gold detailing on spine and black morocco spine label.,
75,record,Gaben der Milde: Erstes Bändchen,1817,Berlin, F. W. Gubitz,13.405,52.52,Novellas ; essays.,,"Helmina von Chezy; Horn, F.; Stein, K.; De La Motte Fouque; Jördens, G.","Der Sieg der Treue: Eine Novelle, nach dem Spanischen by Helmina von Chezy",Pt19.G17 v1,Former owner's stamp: Offnersche Leihbibliothek,Blue paper over boards; yellow spine label. ,
76,record,Gaben der Milde: Zweites Bändchen,1817,Berlin, F. W. Gubitz,13.405,52.52,Novellas; tales; essays; poetry.,,Goethe; Gubitz; Hensel; Brentano; Hoffmann; Hell.,Wonne des Gebens by Goethe; Erscheinungen by Hoffmann.,Pt19.G17 v2,,Blue paper over boards; yellow spine label. ,
77,record,Gaben der Milde: Drittes Bändchen,1818,Berlin, F. W. Gubitz,13.405,52.52,Dialogue of Abelard & Heloise ; poetry ; parables ; essays ; tales. ,,Gubitz; Günsberg; Pergold; Büschenthal; Haug; Velhar.,,Pt19.G17 v3,Former owner's stamp: Offnersche Leihbibliothek,Blue paper over boards; yellow spine label. ,
78,record,Gaben der Milde: Viertes Bändchen,1818,Berlin, F. W. Gubitz,13.405,52.52,Drama ; essays ; tales. ,,v. Arnim; Hebaklius; Müller; Voss; Gubitz; Ludwig; Velhar.,,Pt19.G17 v4,,Blue paper over boards; yellow spine label. ,
79,record,Ganz Neuer Taschen-Kalender auf das Gemeinjahr der gnadenreichen Geburt Jesu Christi 1794,1794,Augsburg, J. Bapt. Rösl,,,Calendar ; schedules of markets and fairs. ,"Rambacher, Ant. Reg. ",,,PT19.G2,Former owner's manuscript: [illegible],Stamped green paper over boards in a white decorated sheath. ,Miniature Edition.
80,record,Agrionien: Ein Taschenbuch für das gesellige Vergnügen,1811,Leipzig, Gerhard Fleischer dem Juengeren,,,Poetry ; calendar ; games. Some poems in French.,"Hell, Th.","Apel, Laun, Kind",,PT19.A23,Former owner's stamp: [illegible],Green paper wrapper,
81,record,Album der Erinnerungen,1856,Prag, Carl Bellmann's Verlag,,,Poetry ; stories. ,"Landt, W.H. ",,,PT19.A27 v1,,Blue paper over boards; white spine label.,
82,record,Album der Erinnerungen,1856,Prag, Carl Bellmann's Verlag,,,Poetry ; stories. ,"Landt, W.H. ",,,PT19.A27 v2,Former owner's stamp: [illegible],Blue paper over boards; white spine label.,
83,record,Alemmania,1826,Berlin, Karl Friedrich Amelang,13.405,52.52,Calendar ; stories ; proverbs.,"Preuss, J. D. E.",Goethe; Jean Paul; Gellert; Pestalozzi; Lavater; Kleist; Klopstock; Wieland; Herder; Lessing.,,PT19.A3 v1,Former owner's sticker: D.G. V.B.; former owner's sticker: [illegible]; former owner's inscription: illegible. ,1/4 calf with brown Spanish marbled paper over boards; brown speckled edges; red spine label and gold detailing.,
84,record,Alemmania,1823,Berlin, Karl Friedrich Amelang,13.405,52.52,Calendar ; stories ; proverbs.,"Preuss, J. D. E.",Goethe; Schleiermacher; Schiller; Schlegel; Klopstock; Bürger; Jean Paul; Herder; Pfeffel.,,PT19.A3 v2,Former owner's inscription: Victor [Laudström Liderslund]; former owner's sticker: [illegible].,1/4 calf with brown Spanish marbled paper over boards; brown speckled edges; red spine label and gold detailing.,
85,record,Almanach aus Rom für Künstler und Freunde der Bildenden Kunst,1810,Leipzig, G. J. Göschen ,,,Calendar ; essays on art and architecture ; musical scores.,"Sickler, F. & Reinhart, C.",,,PT19.A387 v1,,Decorated blue paper over boards; gilt edges. ,Hand colored frontispiece.
86,record,Almanach aus Rom für Künstler und Freunde der Bildenden Kunst,1811,Leipzig, G. J. Göschen ,,,Calendar (listing artists) ; essays on art. ,"Sickler, F. & Reinhart, C.",,,PT19.A387 v2,,Decorated blue paper over boards; gilt edges. ,
87,record,Almanach der Bellettristen und .Bellettristinnen,1782,Ulietea [Berlin], Peter Jobst Edlen von Oma,13.405,52.52,Calendar ; literary criticism. ,,,,PT19.A39,,Tan paper over boards; red edges; blue spine label. ,
88,record,Almanach der deutschen Musen ,1770,"Leipzig, Berlin, Frankfurt", n.p.,,,Calendar ; poetry ; stories. ,,Gleim; Klopstock; Wieland.,,PT19.A4 v1,,1/4 calf with daubed paste paper over boards; red edges; marbled endpapers. ,
89,record,Almanach der deutschen Musen,1771,[Leipzig], [Schwickert],,,Calendar ; stories ; poetry.,,Gellert; Klopstock; Schlegel.,,PT19.A4 v2,Former owner's bookplate [two marble busts]; former owner's bookplate [Illustration; Inter Folia Fructus]; former owner's inscription: [L. Wentphal].,1/4 calf with daubed paste paper over boards; blue edges; waste paper spine.,
90,record,Almanach der deutschen Musen ,1770,Leipzig, n.p.,,,Calendar ; poetry ; stories. ,,,,PT19.A4 v3,Former owner's bookplate [two marble busts]; former owner's bookplate [Illustration; Inter Folia Fructus]; former owner's inscription: [illegible].,1/4 calf with daubed paste paper over boards; blue edges. ,
91,record,Almanach der deutschen Musen ,1773,Leipzig, der Schwickertschen Buchhandlung,,,Poetry ; Stories,,Gleim,,PT19.A4 v4,Former owner's bookplate [two marble busts]; former owner's bookplate [Illustration; Inter Folia Fructus],1/4 calf with daubed paste paper over boards; blue edges. ,
